Type,Day,Pillar,Concept,Hook,Spanish_Version,Status,Posted_Date,Views,Saves,Shares,Notes
CALENDAR,1,Shia Songs,Shia Songs first-listen (mom),"We turned her baby's name into a song. Watch her face.",Yes,Not started,,,,,
CALENDAR,2,Educational,Newborn essentials checklist (carousel + Reel),"Things nobody tells first-time moms about newborn clothes.",No,Not started,,,,,
CALENDAR,3,Product,ASMR gift wrapping (the Ritual),"POV: your gift is the one everyone talks about.",No,Not started,,,,,
CALENDAR,4,Emotional,Grandma opens a keepsake,"This made the abuela cry",Yes,Not started,,,,,
CALENDAR,5,Local,Behind the boutique / owner story,"Why a McAllen mom opened this boutique.",No,Not started,,,,,
CALENDAR,6,Product,Gift bundle reveal - The First Song Set,"The baby shower gift that beats everyone else's.",No,Not started,,,,,
CALENDAR,7,Social proof,Customer testimonial / repost,"Our Hearth Mamas said it best",No,Not started,,,,,
CALENDAR,8,Trend,Trend-jack with trending sound + products,"(use the week's trending audio)",No,Not started,,,,,
CALENDAR,9,Emotional,Rainbow baby tribute,"For the mamas who waited. This one's for you.",Yes,Not started,,,,,
CALENDAR,10,Product,"Rating baby gifts worst to best, ends on keepsake","Most baby gifts are forgettable. Not this one.",No,Not started,,,,,
CALENDAR,11,Emotional,Gender-reveal moment in store,"We filmed the moment they found out.",No,Not started,,,,,
CALENDAR,12,Shia Songs,Shia Song sample over baby photos,"Press play. Try not to cry.",Yes,Not started,,,,,
CALENDAR,13,Engagement,Stories poll: this-or-that outfits,"Help us pick - which is cuter?",No,Not started,,,,,
CALENDAR,14,Local,Local pride / Proudly McAllen,"Made in the Valley, loved for a lifetime.",Yes,Not started,,,,,
CALENDAR,15,Educational,"First-time mom guide: what you actually need","First baby? Save this so you don't overspend.",No,Not started,,,,,
CALENDAR,16,Product,Unboxing the Welcome Home Box,"Everything a new baby needs, in one box.",No,Not started,,,,,
CALENDAR,17,Shia Songs,Behind the scenes: writing a Shia Song,"How we write your baby's first song.",No,Not started,,,,,
CALENDAR,18,Emotional,Grandparent gift idea (FB-forward),"Grandparents: become the favorite.",Yes,Not started,,,,,
CALENDAR,19,Social proof,UGC repost from a Hearth Mama,"Our mamas film the best moments.",No,Not started,,,,,
CALENDAR,20,Product,Limited drop teaser (scarcity),"Only 12 made. When they're gone, they're gone.",No,Not started,,,,,
CALENDAR,21,Emotional,Keepsake she'll keep forever story,"20 years from now, she'll still have this.",No,Not started,,,,,
CALENDAR,22,Trend,Trend-jack #2,"(trending audio)",No,Not started,,,,,
CALENDAR,23,Local,"Q&A: where to get cute baby gifts in McAllen","Replying to your comment",No,Not started,,,,,
CALENDAR,24,Emotional,Mother's Day / seasonal tie-in,"The gift she'll actually remember.",No,Not started,,,,,
CALENDAR,25,Emotional,Reveal-in-a-box for far-away family,"Telling grandma she's a grandma - by mail.",No,Not started,,,,,
CALENDAR,26,Loyalty,Milestone Club explainer,"We'll remind you the moment baby needs the next size.",No,Not started,,,,,
CALENDAR,27,Local,Ambassador spotlight,"Meet a Hearth Mama.",Yes,Not started,,,,,
CALENDAR,28,Product,Bundle comparison / gift guide carousel,"Baby shower gifts, sorted by budget.",No,Not started,,,,,
CALENDAR,29,Emotional,Emotional brand film (30s),"Where first moments become forever.",Yes,Not started,,,,,
CALENDAR,30,Engagement,Month recap + giveaway / CTA,"Tag an expecting friend - one wins a Shia Song.",No,Not started,,,,,
IDEA,1,Shia Songs,First-listen reaction: new mom hears baby's song,,Yes,Backlog,,,,,
IDEA,2,Shia Songs,First-listen: grandparent hears it,,Yes,Backlog,,,,,
IDEA,3,Shia Songs,First-listen: dad tearing up,,No,Backlog,,,,,
